ANNO;AteneoCOD;AteneoNOME;AteneoREGIONE;AteneoAREAGEO;CorsoTIPO;COD_FoET2013;DESC_FoET2013;Genere;LAU
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;05;Natural sciences, mathematics and statistics;F;19
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;04;Business, administration and law;M;31
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;04;Business, administration and law;F;66
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;03;Social sciences, journalism and information;M;15
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;03;Social sciences, journalism and information;F;37
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;09;Health and welfare;M;5422
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;07;Engineering, manufacturing and construction;F;16
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;04;Business, administration and law;M;21184
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;09;Health and welfare;F;15762
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;08;Agriculture, forestry, fisheries and veterinary;M;2219
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;08;Agriculture, forestry, fisheries and veterinary;F;2057
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;07;Engineering, manufacturing and construction;M;23316
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;07;Engineering, manufacturing and construction;F;9137
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;06;Information and Communication Technologies (ICTs);M;3275
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;06;Information and Communication Technologies (ICTs);F;539
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;09;Health and welfare;M;4916
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;05;Natural sciences, mathematics and statistics;F;10060
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;02;Arts and humanities;F;24322
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;04;Business, administration and law;F;16931
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;03;Social sciences, journalism and information;M;14961
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;03;Social sciences, journalism and information;F;25753
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;02;Arts and humanities;M;8204
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale;08;Agriculture, forestry, fisheries and veterinary;F;1265
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;01;Education;M;1061
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;01;Education;M;2
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;05;Natural sciences, mathematics and statistics;M;7222
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale;06;Information and Communication Technologies (ICTs);M;1667
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale;07;Engineering, manufacturing and construction;F;9061
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale;06;Information and Communication Technologies (ICTs);F;494
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale;05;Natural sciences, mathematics and statistics;M;6409
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale;05;Natural sciences, mathematics and statistics;F;9556
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale;04;Business, administration and law;M;9448
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale;04;Business, administration and law;F;9783
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale;03;Social sciences, journalism and information;M;9297
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;10;Services;F;4985
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale;02;Arts and humanities;M;5420
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale;02;Arts and humanities;F;17139
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale;01;Education;M;545
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale;01;Education;F;5745
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;10;Services;M;8263
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale;07;Engineering, manufacturing and construction;M;19370
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale;03;Social sciences, journalism and information;F;18609
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Laurea;01;Education;F;145
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Laurea;01;Education;M;6
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Laurea;02;Arts and humanities;F;238
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Laurea;02;Arts and humanities;M;86
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Laurea;03;Social sciences, journalism and information;F;376
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Laurea;03;Social sciences, journalism and information;M;199
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Laurea;04;Business, administration and law;F;156
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Laurea;04;Business, administration and law;M;102
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Laurea;05;Natural sciences, mathematics and statistics;F;153
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Laurea;05;Natural sciences, mathematics and statistics;M;80
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Laurea;06;Information and Communication Technologies (ICTs);F;14
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Laurea;06;Information and Communication Technologies (ICTs);M;77
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Laurea;07;Engineering, manufacturing and construction;F;130
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Laurea;07;Engineering, manufacturing and construction;M;191
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Laurea;09;Health and welfare;F;174
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Laurea;09;Health and welfare;M;63
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Laurea;10;Services;F;12
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Laurea;10;Services;M;38
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale;01;Education;F;43
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale;01;Education;M;2
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale;02;Arts and humanities;F;108
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale;02;Arts and humanities;M;37
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale;03;Social sciences, journalism and information;F;145
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale;03;Social sciences, journalism and information;M;56
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale;04;Business, administration and law;F;58
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale;04;Business, administration and law;M;45
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale;05;Natural sciences, mathematics and statistics;F;77
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale;05;Natural sciences, mathematics and statistics;M;62
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale;06;Information and Communication Technologies (ICTs);F;8
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale;06;Information and Communication Technologies (ICTs);M;31
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale;07;Engineering, manufacturing and construction;F;60
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale;07;Engineering, manufacturing and construction;M;118
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale;09;Health and welfare;F;14
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale;09;Health and welfare;M;28
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale Ciclo Unico;01;Education;F;58
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale Ciclo Unico;04;Business, administration and law;F;63
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale Ciclo Unico;04;Business, administration and law;M;25
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale Ciclo Unico;07;Engineering, manufacturing and construction;F;1
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale Ciclo Unico;09;Health and welfare;F;192
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale Ciclo Unico;09;Health and welfare;M;72
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Vecchio Ordinamento;01;Education;F;4
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Vecchio Ordinamento;01;Education;M;1
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Vecchio Ordinamento;02;Arts and humanities;M;1
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Vecchio Ordinamento;03;Social sciences, journalism and information;F;2
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Vecchio Ordinamento;04;Business, administration and law;F;3
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Vecchio Ordinamento;07;Engineering, manufacturing and construction;M;4
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Vecchio Ordinamento;09;Health and welfare;F;2
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Vecchio Ordinamento;09;Health and welfare;M;1
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Laurea;01;Education;F;109
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Laurea;01;Education;M;6
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Laurea;02;Arts and humanities;F;128
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Laurea;02;Arts and humanities;M;49
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Laurea;03;Social sciences, journalism and information;F;125
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Laurea;03;Social sciences, journalism and information;M;45
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Laurea;04;Business, administration and law;F;88
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Laurea;04;Business, administration and law;M;95
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Laurea;05;Natural sciences, mathematics and statistics;F;55
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Laurea;05;Natural sciences, mathematics and statistics;M;33
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Laurea;07;Engineering, manufacturing and construction;F;32
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Laurea;07;Engineering, manufacturing and construction;M;52
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Laurea;08;Agriculture, forestry, fisheries and veterinary;F;38
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Laurea;08;Agriculture, forestry, fisheries and veterinary;M;35
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Laurea;09;Health and welfare;F;227
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Laurea;09;Health and welfare;M;48
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Laurea;10;Services;F;22
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Laurea;10;Services;M;25
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale;01;Education;M;1
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale;02;Arts and humanities;F;103
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale;02;Arts and humanities;M;31
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale;03;Social sciences, journalism and information;F;21
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale;03;Social sciences, journalism and information;M;23
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale;04;Business, administration and law;F;53
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale;04;Business, administration and law;M;26
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale;05;Natural sciences, mathematics and statistics;F;46
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale;05;Natural sciences, mathematics and statistics;M;22
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale;07;Engineering, manufacturing and construction;F;25
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale;07;Engineering, manufacturing and construction;M;26
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale;08;Agriculture, forestry, fisheries and veterinary;F;20
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale;08;Agriculture, forestry, fisheries and veterinary;M;31
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale;09;Health and welfare;F;29
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale;09;Health and welfare;M;6
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale Ciclo Unico;04;Business, administration and law;F;29
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale Ciclo Unico;04;Business, administration and law;M;21
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale Ciclo Unico;07;Engineering, manufacturing and construction;M;1
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale Ciclo Unico;08;Agriculture, forestry, fisheries and veterinary;F;23
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale Ciclo Unico;08;Agriculture, forestry, fisheries and veterinary;M;8
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale Ciclo Unico;09;Health and welfare;F;106
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Laurea Magistrale Ciclo Unico;09;Health and welfare;M;82
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Vecchio Ordinamento;04;Business, administration and law;F;2
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Vecchio Ordinamento;05;Natural sciences, mathematics and statistics;F;1
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Vecchio Ordinamento;05;Natural sciences, mathematics and statistics;M;1
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Vecchio Ordinamento;09;Health and welfare;F;1
2023;09001;Sassari - Universit  degli studi;Sardegna;ISOLE;Vecchio Ordinamento;09;Health and welfare;M;1
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea;01;Education;F;143
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea;01;Education;M;7
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea;02;Arts and humanities;F;541
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea;02;Arts and humanities;M;144
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea;03;Social sciences, journalism and information;F;505
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea;03;Social sciences, journalism and information;M;212
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea;04;Business, administration and law;F;125
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea;04;Business, administration and law;M;136
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea;05;Natural sciences, mathematics and statistics;F;200
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea;05;Natural sciences, mathematics and statistics;M;143
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea;06;Information and Communication Technologies (ICTs);F;14
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea;06;Information and Communication Technologies (ICTs);M;86
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea;07;Engineering, manufacturing and construction;F;78
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea;07;Engineering, manufacturing and construction;M;283
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea;08;Agriculture, forestry, fisheries and veterinary;F;72
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea;08;Agriculture, forestry, fisheries and veterinary;M;92
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea;09;Health and welfare;F;239
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea;09;Health and welfare;M;103
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea;10;Services;F;89
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea;10;Services;M;60
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea Magistrale;01;Education;F;49
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea Magistrale;01;Education;M;3
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea Magistrale;02;Arts and humanities;F;338
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea Magistrale;02;Arts and humanities;M;94
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea Magistrale;03;Social sciences, journalism and information;F;169
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea Magistrale;03;Social sciences, journalism and information;M;72
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea Magistrale;04;Business, administration and law;F;77
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea Magistrale;04;Business, administration and law;M;78
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea Magistrale;05;Natural sciences, mathematics and statistics;F;165
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea Magistrale;05;Natural sciences, mathematics and statistics;M;106
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea Magistrale;06;Information and Communication Technologies (ICTs);F;6
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea Magistrale;06;Information and Communication Technologies (ICTs);M;37
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea Magistrale;07;Engineering, manufacturing and construction;F;53
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea Magistrale;07;Engineering, manufacturing and construction;M;185
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea Magistrale;08;Agriculture, forestry, fisheries and veterinary;F;53
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea Magistrale;08;Agriculture, forestry, fisheries and veterinary;M;81
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea Magistrale;09;Health and welfare;F;95
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea Magistrale;09;Health and welfare;M;30
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea Magistrale Ciclo Unico;04;Business, administration and law;F;132
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea Magistrale Ciclo Unico;04;Business, administration and law;M;69
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea Magistrale Ciclo Unico;07;Engineering, manufacturing and construction;F;57
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea Magistrale Ciclo Unico;07;Engineering, manufacturing and construction;M;45
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea Magistrale Ciclo Unico;09;Health and welfare;F;232
2023;08701;Catania - Universit  degli studi;Sicilia;ISOLE;Laurea Magistrale Ciclo Unico;09;Health and welfare;M;171
2023;08601;"Enna - Libera Universit  della Sicilia Centrale ""KORE""";Sicilia;ISOLE;Laurea;02;Arts and humanities;F;45
2023;08601;"Enna - Libera Universit  della Sicilia Centrale ""KORE""";Sicilia;ISOLE;Laurea;02;Arts and humanities;M;11
2023;08601;"Enna - Libera Universit  della Sicilia Centrale ""KORE""";Sicilia;ISOLE;Laurea;03;Social sciences, journalism and information;F;95
2023;08601;"Enna - Libera Universit  della Sicilia Centrale ""KORE""";Sicilia;ISOLE;Laurea;03;Social sciences, journalism and information;M;22
2023;08601;"Enna - Libera Universit  della Sicilia Centrale ""KORE""";Sicilia;ISOLE;Laurea;04;Business, administration and law;F;39
2023;08601;"Enna - Libera Universit  della Sicilia Centrale ""KORE""";Sicilia;ISOLE;Laurea;04;Business, administration and law;M;32
2023;08601;"Enna - Libera Universit  della Sicilia Centrale ""KORE""";Sicilia;ISOLE;Laurea;07;Engineering, manufacturing and construction;F;6
2023;08601;"Enna - Libera Universit  della Sicilia Centrale ""KORE""";Sicilia;ISOLE;Laurea;07;Engineering, manufacturing and construction;M;45
2023;08601;"Enna - Libera Universit  della Sicilia Centrale ""KORE""";Sicilia;ISOLE;Laurea;09;Health and welfare;F;47
2023;08601;"Enna - Libera Universit  della Sicilia Centrale ""KORE""";Sicilia;ISOLE;Laurea;09;Health and welfare;M;6
2023;08601;"Enna - Libera Universit  della Sicilia Centrale ""KORE""";Sicilia;ISOLE;Laurea;10;Services;F;39
2023;08601;"Enna - Libera Universit  della Sicilia Centrale ""KORE""";Sicilia;ISOLE;Laurea;10;Services;M;46
2023;08601;"Enna - Libera Universit  della Sicilia Centrale ""KORE""";Sicilia;ISOLE;Laurea Magistrale;02;Arts and humanities;F;15
2023;08601;"Enna - Libera Universit  della Sicilia Centrale ""KORE""";Sicilia;ISOLE;Laurea Magistrale;02;Arts and humanities;M;4
2023;08601;"Enna - Libera Universit  della Sicilia Centrale ""KORE""";Sicilia;ISOLE;Laurea Magistrale;03;Social sciences, journalism and information;F;44
2023;08601;"Enna - Libera Universit  della Sicilia Centrale ""KORE""";Sicilia;ISOLE;Laurea Magistrale;03;Social sciences, journalism and information;M;4
2023;08601;"Enna - Libera Universit  della Sicilia Centrale ""KORE""";Sicilia;ISOLE;Laurea Magistrale;04;Business, administration and law;F;8
2023;08601;"Enna - Libera Universit  della Sicilia Centrale ""KORE""";Sicilia;ISOLE;Laurea Magistrale;04;Business, administration and law;M;4
2023;08601;"Enna - Libera Universit  della Sicilia Centrale ""KORE""";Sicilia;ISOLE;Laurea Magistrale;07;Engineering, manufacturing and construction;M;1
2023;08601;"Enna - Libera Universit  della Sicilia Centrale ""KORE""";Sicilia;ISOLE;Laurea Magistrale;09;Health and welfare;F;21
2023;08601;"Enna - Libera Universit  della Sicilia Centrale ""KORE""";Sicilia;ISOLE;Laurea Magistrale;09;Health and welfare;M;23
2023;08601;"Enna - Libera Universit  della Sicilia Centrale ""KORE""";Sicilia;ISOLE;Laurea Magistrale Ciclo Unico;01;Education;F;310
2023;08601;"Enna - Libera Universit  della Sicilia Centrale ""KORE""";Sicilia;ISOLE;Laurea Magistrale Ciclo Unico;01;Education;M;24
2023;08601;"Enna - Libera Universit  della Sicilia Centrale ""KORE""";Sicilia;ISOLE;Laurea Magistrale Ciclo Unico;04;Business, administration and law;F;23
